gene_id	gene_name	regulation
ENSG00000147601	TERF1	DOWN
ENSG00000140526	ABHD2	DOWN
ENSG00000143382	ADAMTSL4	DOWN
ENSG00000106948	AKNA	DOWN
ENSG00000184254	ALDH1A3	DOWN
ENSG00000180448	ARHGAP45	DOWN
ENSG00000163947	ARHGEF3	DOWN
ENSG00000197070	ARRDC1	DOWN
ENSG00000070669	ASNS	DOWN
ENSG00000130707	ASS1	DOWN
ENSG00000147416	ATP6V1B2	DOWN
ENSG00000258643	BCL2L2-PABPN1	DOWN
ENSG00000178096	BOLA1	DOWN
ENSG00000189195	BTBD8	DOWN
ENSG00000104267	CA2	DOWN
ENSG00000064989	CALCRL	DOWN
ENSG00000136280	CCM2	DOWN
ENSG00000155111	CDK19	DOWN
ENSG00000128965	CHAC1	DOWN
ENSG00000154080	CHST9	DOWN
ENSG00000119865	CNRIP1	DOWN
ENSG00000138663	COPS4	DOWN
ENSG00000111775	COX6A1	DOWN
ENSG00000165475	CRYL1	DOWN
ENSG00000103316	CRYM	DOWN
ENSG00000180902	D2HGDH	DOWN
ENSG00000168209	DDIT4	DOWN
ENSG00000176978	DPP7	DOWN
ENSG00000164176	EDIL3	DOWN
ENSG00000159658	EFCAB14	DOWN
ENSG00000125746	EML2	DOWN
ENSG00000234648	ENSG00000234648	DOWN
ENSG00000237550	ENSG00000237550	DOWN
ENSG00000249624	ENSG00000249624	DOWN
ENSG00000250644	ENSG00000250644	DOWN
ENSG00000258634	ENSG00000258634	DOWN
ENSG00000268575	ENSG00000268575	DOWN
ENSG00000276337	ENSG00000276337	DOWN
ENSG00000277534	ENSG00000277534	DOWN
ENSG00000278000	ENSG00000278000	DOWN
ENSG00000290854	ENSG00000290854	DOWN
ENSG00000291219	ENSG00000291219	DOWN
ENSG00000099219	ERMP1	DOWN
ENSG00000197712	FAM114A1	DOWN
ENSG00000153832	FBXO36	DOWN
ENSG00000088340	FER1L4	DOWN
ENSG00000139433	GLTP	DOWN
ENSG00000164849	GPR146	DOWN
ENSG00000215045	GRID2IP	DOWN
ENSG00000105928	GSDME	DOWN
ENSG00000189060	H1-0	DOWN
ENSG00000049239	H6PD	DOWN
ENSG00000126107	HECTD3	DOWN
ENSG00000254369	HOXA-AS3	DOWN
ENSG00000204389	HSPA1A	DOWN
ENSG00000105371	ICAM4	DOWN
ENSG00000185885	IFITM1	DOWN
ENSG00000103599	IQCH	DOWN
ENSG00000152969	JAKMIP1	DOWN
ENSG00000243789	JMJD7	DOWN
ENSG00000100196	KDELR3	DOWN
ENSG00000122203	KIAA1191	DOWN
ENSG00000239474	KLHL41	DOWN
ENSG00000053747	LAMA3	DOWN
ENSG00000205659	LIN52	DOWN
ENSG00000074695	LMAN1	DOWN
ENSG00000169223	LMAN2	DOWN
ENSG00000103227	LMF1	DOWN
ENSG00000277443	MARCKS	DOWN
ENSG00000012174	MBTPS2	DOWN
ENSG00000164024	METAP1	DOWN
ENSG00000265688	MILIP	DOWN
ENSG00000110917	MLEC	DOWN
ENSG00000198598	MMP17	DOWN
ENSG00000189409	MMP23B	DOWN
ENSG00000130150	MOSPD2	DOWN
ENSG00000076641	PAG1	DOWN
ENSG00000100889	PCK2	DOWN
ENSG00000176485	PLAAT3	DOWN
ENSG00000102934	PLLP	DOWN
ENSG00000147535	PLPP5	DOWN
ENSG00000186314	PRELID2	DOWN
ENSG00000027075	PRKCH	DOWN
ENSG00000184489	PTP4A3	DOWN
ENSG00000166128	RAB8B	DOWN
ENSG00000165476	REEP3	DOWN
ENSG00000169891	REPS2	DOWN
ENSG00000005189	REXO5	DOWN
ENSG00000278233	RNA5-8SN2	DOWN
ENSG00000276700	RNA5-8SN4	DOWN
ENSG00000135828	RNASEL	DOWN
ENSG00000236992	RPL12P12	DOWN
ENSG00000163584	RPL22L1	DOWN
ENSG00000232573	RPL3P4	DOWN
ENSG00000225093	RPL3P7	DOWN
ENSG00000242067	RPL9P28	DOWN
ENSG00000182841	RRP7BP	DOWN
ENSG00000154079	SDHAF4	DOWN
ENSG00000167680	SEMA6B	DOWN
ENSG00000164300	SERINC5	DOWN
ENSG00000173349	SFT2D3	DOWN
ENSG00000163082	SGPP2	DOWN
ENSG00000167037	SGSM1	DOWN
ENSG00000111252	SH2B3	DOWN
ENSG00000089163	SIRT4	DOWN
ENSG00000211584	SLC48A1	DOWN
ENSG00000162976	SLC66A3	DOWN
ENSG00000151012	SLC7A11	DOWN
ENSG00000166750	SLFN5	DOWN
ENSG00000132207	SLX1A	DOWN
ENSG00000291263	SMG1P7	DOWN
ENSG00000171621	SPSB1	DOWN
ENSG00000101955	SRPX	DOWN
ENSG00000260589	STAM-DT	DOWN
ENSG00000105398	SULT2A1	DOWN
ENSG00000183508	TENT5C	DOWN
ENSG00000115112	TFCP2L1	DOWN
ENSG00000177854	TMEM187	DOWN
ENSG00000136842	TMOD1	DOWN
ENSG00000125247	TMTC4	DOWN
ENSG00000185361	TNFAIP8L1	DOWN
ENSG00000025772	TOMM34	DOWN
ENSG00000112343	TRIM38	DOWN
ENSG00000130529	TRPM4	DOWN
ENSG00000111199	TRPV4	DOWN
ENSG00000151116	UEVLD	DOWN
ENSG00000174607	UGT8	DOWN
ENSG00000111981	ULBP1	DOWN
ENSG00000147852	VLDLR	DOWN
ENSG00000187650	VMAC	DOWN
ENSG00000186496	ZNF396	DOWN
ENSG00000171443	ZNF524	DOWN
ENSG00000152475	ZNF837	DOWN
ENSG00000106479	ZNF862	DOWN
ENSG00000121903	ZSCAN20	DOWN
ENSG00000273730	5_8S_rRNA	UP
ENSG00000119673	ACOT2	UP
ENSG00000107796	ACTA2	UP
ENSG00000143537	ADAM15	UP
ENSG00000130203	APOE	UP
ENSG00000242173	ARHGDIG	UP
ENSG00000239322	ATP6V1B1-AS1	UP
ENSG00000161940	BCL6B	UP
ENSG00000104164	BLOC1S6	UP
ENSG00000225439	BOLA3-DT	UP
ENSG00000143443	C1orf56	UP
ENSG00000151067	CACNA1C	UP
ENSG00000165806	CASP7	UP
ENSG00000103021	CCDC113	UP
ENSG00000163040	CCDC74A	UP
ENSG00000152076	CCDC74B	UP
ENSG00000103502	CDIPT	UP
ENSG00000111328	CDK2AP1	UP
ENSG00000186567	CEACAM19	UP
ENSG00000223802	CERS1	UP
ENSG00000156042	CFAP70	UP
ENSG00000080644	CHRNA3	UP
ENSG00000169105	CHST14	UP
ENSG00000203667	COX20	UP
ENSG00000259726	CSPG4P11	UP
ENSG00000057019	DCBLD2	UP
ENSG00000134574	DDB2	UP
ENSG00000146966	DENND2A	UP
ENSG00000171462	DLK2	UP
ENSG00000024422	EHD2	UP
ENSG00000173867	ENSG00000173867	UP
ENSG00000179066	ENSG00000179066	UP
ENSG00000253123	ENSG00000253123	UP
ENSG00000254290	ENSG00000254290	UP
ENSG00000260947	ENSG00000260947	UP
ENSG00000271943	ENSG00000271943	UP
ENSG00000272384	ENSG00000272384	UP
ENSG00000272410	ENSG00000272410	UP
ENSG00000273590	ENSG00000273590	UP
ENSG00000277701	ENSG00000277701	UP
ENSG00000279518	ENSG00000279518	UP
ENSG00000286032	ENSG00000286032	UP
ENSG00000286905	ENSG00000286905	UP
ENSG00000288674	ENSG00000288674	UP
ENSG00000289750	ENSG00000289750	UP
ENSG00000288709	F8A2	UP
ENSG00000184083	FAM120C	UP
ENSG00000115641	FHL2	UP
ENSG00000161791	FMNL3	UP
ENSG00000128573	FOXP2	UP
ENSG00000138757	G3BP2	UP
ENSG00000089597	GANAB	UP
ENSG00000142530	GARIN5A	UP
ENSG00000233611	GBX2-AS1	UP
ENSG00000130956	HABP4	UP
ENSG00000108924	HLF	UP
ENSG00000136630	HLX	UP
ENSG00000143341	HMCN1	UP
ENSG00000229091	HSPA8P8	UP
ENSG00000163596	ICA1L	UP
ENSG00000235092	ID2-AS1	UP
ENSG00000141753	IGFBP4	UP
ENSG00000115461	IGFBP5	UP
ENSG00000137142	IGFBPL1	UP
ENSG00000275882	IKBKGP1	UP
ENSG00000148798	INA	UP
ENSG00000173404	INSM1	UP
ENSG00000237863	IRS4-AS1	UP
ENSG00000077943	ITGA8	UP
ENSG00000171121	KCNMB3	UP
ENSG00000146021	KLHL3	UP
ENSG00000184351	KRTAP19-1	UP
ENSG00000250682	LINC00491	UP
ENSG00000253414	LINC01605	UP
ENSG00000230606	LINC02969	UP
ENSG00000168702	LRP1B	UP
ENSG00000178573	MAF	UP
ENSG00000166963	MAP1A	UP
ENSG00000109339	MAPK10	UP
ENSG00000117899	MESD	UP
ENSG00000204682	MIR1915HG	UP
ENSG00000228526	MIR34AHG	UP
ENSG00000215386	MIR99AHG	UP
ENSG00000087053	MTMR2	UP
ENSG00000198888	MT-ND1	UP
ENSG00000225972	MTND1P23	UP
ENSG00000162614	NEXN	UP
ENSG00000008441	NFIX	UP
